id,Word,meaning
1,آبا," اجداد، اسلاف، پدران، پیشینیان، نیاکان ، اخلاف"
2,آباجی," آبجی، اخت، باجی، خواهر، دده، شاباجی، همشیره ، داداش"
3,آباد,"  برپا، دایر، معمور ، پررونق ، پیشرفته، توسعه‌یافته، مترقی ، تندرست، سالم ، بسامان، منظم ، غنی، مرفه ،  خراب، متروک، ویران ، بی‌رونق ، عقب‌مانده"
4,آبادان,"  آباد، برپا، پررونق، دایر، معمور ، خراب"
5,آبادانی,"  آبادی، عمارت، عمران ، ترقی، توسعه، رونق ، آسایش، ترفیه، رفاه ، خرابی"
6,آبادی,"  آبادانی، عمارت، عمران ، ده، دهات، دهکده، روستا، شهر، واحه، ولایت"
7,آبان,"  آبان‌ماه، عقرب ، آب‌بان"
8,آب‌انبار,"  برکه ، آبدان، آبگیر، برم، تالاب"
9,آب‌باز,"  آب‌ورز، سباح، شناگر، شناور ، غواص"
10,آب‌بازی,"  غوص ، آب‌ورزی، سباحت، شناگری"
11,آب‌بند," بند، سد، ورغ"
12,آبجو," فقاع، فوگان، ماء‌الشعیر"
13,آبجی," آباجی، اخت، باجی، خواهر، دده، شاباجی، همشیره ، داداش، برادر "
14,آبخورد,"  تقدیر، سرنوشت، قسمت ، بهره، روزی، نصیب ، آبشخور، مشرب، منهل"
15,آبخوری,"  تنگ، سبو، کوزه، مشربه ، آبخور، آبشخور"
16,آبخیز," آب‌دار، آبزا، کوهه، موج، موج‌کوهه"
17,آبدار,"  آبکی، باطراوت، پرآب، رقیق، شاداب، مایع ، آبدارچی، ایاغچی، ساقی، شربتدار، قهوه‌چی ، آبدیده، برنده، تیز ، سخت ، تند، زننده، نیشدار ، آبخیز، آبزا ، رسا، روان، فصیح، گویا ، بی‌آب، خشک"
18,آبدان," آب‌انبار، آبگیر، برکه، برم، تالاب، غدیر"
19,آب‌دهان," بزاق، تف، خدو، خیو، کفک"
20,آب‌دهن," بزاق، تف، خدو، خیو"
21,آب‌ریز," میزاب، ناو، ناودان"
22,آبدیده,"  تر، خیس، مرطوب، نم، نمدار ، آبداده، بران، برا، تیز"
23,آبراه," آبراهه، ترعه، جدول، جو، کانال، مجرا، مسیل، نهر"
24,آبراهه," آبراه، آب‌گذر، ترعه، جدول، جو، کانال، مسیل"
25,آبرو," احترام، اعتبار، جاه، حرمت، حیثیت، شرف، عرض، عرق، عزت، قدر، منزلت، ناموس"
26,آبرومند,"  آبرودار، باآبرو، برومند، شریف، محترم، معتبر ، عفیف"
27,آبریز,"  آبریزگاه، توالت، دستشویی، کابینه، مبال، مستراح ، دلو ، آبدستان، آفتابه، ابریق، مطهره"
28,آبریزگاه," آبریز، توالت، دستشویی، کابینه، مبال، مستراح"
29,آبستن,"  آبسته، باردار، پابماه، حامله ، دچار، دستخوش ، پنهان، مخفی، نهان ،  سترون، عقیم"
30,آبستنی," بارداری، حاملگی ، سترونی، عقیمی"
31,آبشخور,"  آبخور، آبشخورد، آبشخوار، سرچشمه، منهل ، روزی، قسمت، نصیب ، تقدیر، سرنوشت ، مشرب ، مقام، منزل، موطن"
32,آبکش,"  سقا ، عطش‌زا ، ترشی‌پالا، چلوصافی، صافی"
33,آبکند,"  سیل‌گاه، مسیل ، گودال، گود، مغاک ، آبگیر، تالاب، غدیر"
34,آب‌کوهه," خیزاب، موج، موج‌خیز"
35,آبکی," آبدار، آبگین، تنک، روان، مایع ، جامد"
36,آب‌گذر," آبراهه، جدول، جو، کانال، نهر"
37,آبگونه," آبکی، آبگون، آبگین، مایع"
38,آبگیر,"  برکه، برم، تالاب، غدیر ، استخر، حوض ، مرداب"
39,آبگینه,"  آبگین، آینه، آیینه، زجاج، مرآت ، شیشه ، بلور ، تیغ ، الماس"
40,آبله,"  تاول ، تبخال، تبخاله"
41,آبله‌رو," آبله‌دار، آبله‌ناک، مجدر"
42,آبله‌کوبی," تلقیح، مایه‌کوبی، واکسیناسیون"
43,آب‌وتاب," بزک، جلا، رونق، ساخت‌وپرداخت، طول‌وتفصیل "
44,آب‌ونان‌دار," پرسود، سودآور، منفعت‌دار"
45,آبونمان, اشتراک
46,آبونه, مشترک
47,آبی,"  ارزق، کبود، لاجورد، نیلگون ، بحری، دریایی ، آبزی ، خالو، دایی  ، دیمی، دیم ، خشکی ، هوازی "
48,آبیار," آب‌بان، آب‌پا، میراب"
49,آپارتمان,"  خانه، مسکن، منزل ، ساختمان"
50,آتش,"  آذر، اخگر، شرار، شرر، شعله، نار ، جهنم، دوزخ، هاویه ،  آب ، بهشت "
51,آتش‌بس," آشتی، ترک‌مخاصمه، صلح، متارکه‌جنگ "
52,آتشپاره,"  جلد، چابک، زرنگ، فرز ، بدجنس، حیله‌گر، موذی ، شرور، شریر ، اخگر"
53,آتش‌پرست,"  آذرپرست، زرتشتی، گبر، مجوس، مغ ، کافر، ملحد"
54,آتش‌رنگ," آتشین، آتش‌فام، آذرگون، آذرین، سرخ، سرخ‌فام، قرمز، لاله‌گون"
55,آتش‌زنه," آتش‌افروز، آتشگیره، چخماق، فروزینه، گیرا، محرقه، مرو "
56,آتش‌سوزی, حریق 
57,آتش‌فام," آتش‌رنگ، آتشگون، آذرفام، آذرگون، سرخ‌فام، سرخگون "
58,آتشدان,"  مجمر، مجمره ، اجاق، منقل ، تنوره، تنور ، کوره "
59,آتش‌گرفتن," اشتعال، حریق، سوختن، شعله‌ورشدن"
60,آتش‌مزاج," بدخلق، تندخو، عصبی"
61,آتشپاره,"  شیطان، ناقلا ، فتنه‌جو، فتنه‌گر"
62,آتشک," سیفلیس، کوفت"
63,آتشکده," آتشخانه، آتشگاه، آذرکده، آذرگاه، عبادتخانه، معبد"
64,آتشگاه," آتشکده، آذرگاه، اجاق، پرستشگاه، معبد"
65,آتشگیره," آتش‌زنه، چخماق، فروزینه، محرقه، مرو"
66,آتشناک," آتشی، آتشین، آذرین، سوزان"
67,آتشی‌مزاج," بدخو، تندخو، عصبی ، ملایم"
68,آتشین," آتشناک، آتشی، آذرگون، آذرین، داغ، سوزان، مشتعل"
69,آتلیه," کارگاه، نگارخانه، نگارستان"
70,آتمسفر,"  جو، فضا ، هوا ، محیط ، شرایط، وضعیت"
71,آتو,"  ورق‌برنده ، بهانه، دستاویز، مستمسک"
72,آتی," آتیه، آجل، آینده، بعدی، مستقبل"
73,آتیه," آتی، آجل، آینده، مستقبل ، گذشته، ماضی"
74,آثار,"  رد، رگه، نشانه‌ها ، کارها ، تالیفات، نوشته‌ها ، پیامدها، تبعات"
75,آجل,"  آتیه، آینده، مستقبل ، آخرت ، گذشته"
76,آجیل," تنقلات، خشکبار، شب‌چره"
77,آخال," آشغال، خاشاک، خاکروبه، زباله"
78,آختن,"  برکشیدن، کشیدن ، بالابردن، برافراشتن ، کوک‌کردن، نواختن"
79,آخته,"  برافراشته، برکشیده، کشیده ، کوک، نواخته ، اخته"
80,آخر," اختتام، انتها، پایان، پسین، ته، خاتمه، سرانجام، عاقبت، فرجام، منتها، نهایت، واپسین ، ابتدا"
81,آخرالامر," آخرکار، بالمال، سرانجام، عاقبت"
82,آخرالزمان," آخرت، بعث، رستخیز، رستاخیز، قیامت، نشور"
83,آخربین," عاقبت‌اندیش، عاقبت‌نگر، مال‌اندیش"
84,آخرت," آخرالزمان، اخری، رستاخیز، عقبا، عقبی، قیامت، نشور ، دنیا"
85,آخرک," آخره، ترقوه، چنبره"
86,آخری,"  اخیر ، آخرین، انتهایی، واپسین ، اولی"
87,آخرین," آخری، اخیر، انتهایی، بازپسین، نهایی، واپسین ، آغازین"
88,آخشیج,"  آخشیگ، اسطقس، اصل، عنصر ، ضد، مخالف ، هیولی"
89,آخور," آغل، اصطبل، باره‌بند، ستورگاه، طویله"
90,آخوند,"  روحانی، روضه‌خوان، شیخ، عالم، فقیه، ملا ، مدرس، معلم"
91,آداب," تشریفات، رسم، رسوم، سنت، سنن، شعایر، عادات، قواعد، مراسم، مناسک"
92,آداب‌دان," آداب‌شناس، بافرهنگ، فرهیخته، مودب، مبادی‌آداب، متادب"
93,آداب‌دانی," آداب‌شناسی، ادب، فرهنگ، فرهیختگی، نزاکت"
94,آدامس, سقز
95,آدرس," عنوان، نشانی"
96,آدم,"  انسان، بشر، مردم، ناس، ، کس، نفر ، ابوالبشر ،  جانور، حیوان، دد ، دیو"
97,آدم‌کش,"  قاتل ، سلاخ، قصاب"
98,آدم‌کشی," ترور، جنایت، قتل، کشتار"
99,آدمی," آدمیت، آدمیزاد، انسان، بشر ، دیو"
100,آدمیت," آدمی، انسانیت، بشریت، مردمی ، حیوانیت"
101,آدمیرال," امیرالبحر، دریابیگی، دریاسالار"
102,آدمیزاد," آدمی، آدمیزاده، انسان، بشر، مردم ، دیو، دیوزاد"
103,آدینه, جمعه
104,آذر,"  آتش، اخگر، نار ، آذرروز، قوس"
105,آذرخش," برق، درخش، صاعقه ، رعد"
106,آذرگون," آتش‌رنگ، آتش‌فام، آتشگون، آتشین، آذرین"
107,آذرین," آتش‌رنگ، آتشی، آتشین، گداخته"
108,آذوقه," ارزاق، توشه، جیره، خواربار، خوراک، سوروسات، قوت"
109,آذین,"  آرایش، آیین‌بندی، چراغانی، زیب، زینت، زیور ، آیین، رسم، قاعده، قانون"
110,آذین‌بندی," آیین، آیینه‌بندان، آیینه‌بندی، جشن، چراغانی، شهرآرایی"
111,آراستگی," اتساق، ترتیب، تزیین، نسق، نظام، نظم"
112,آراستن,"  آرایش‌کردن، بزک‌کردن ، آذین‌بستن، تزیین‌کردن ، برپاکردن، منعقدکردن ، آماده‌کردن، حاضرکردن، مهیاکردن ، سامان‌بخشیدن، سامان‌دادن، مرتب‌کردن، منظم‌کردن ، پیراستن"
113,آراسته," آماده، بانظم، بسامان، جمیل، متحلی، مرتب، مزین، منتظم، منظم، نیکو"
114,آرام,"  خاموش، خلوت، دنج، ساکت ، آرامش، استراحت، صبر، قرار ، ثبات، سکون ، بردبار، رزین، صبور، معتدل، ملایم، موقر ، بی‌جنبش، بی‌حرکت، ساکن ، آسوده، راحت، فارغ‌بال ، آهسته، باتانی، یواش ، امان، امن ، طمانینه ،  پرسروصدا، شلوغ ، بی‌قرار"
